instance,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness
F1,1.5290969978736042e-19,0.0,0.0,1.4812999470833423,449.038,754.21,8524.52841315361,20655.853,9065.901,0.0048071645787954,0.058,0.04,8526.088629449268,12464.009,2500.983
F2,1.2311865445474037e-12,0.0,0.0,0.0270119710657984,0.182,0.183,74.1314070248658,111.262,24.564,0.0074596005187048,0.014,0.008,37.071956630474034,50.982,6.27
