instance, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%, avg. XPL%, avg. XPT%
F1,1.532,98.468,30.998,69.002,11.527,11.527,46.26,46.26,48.792,48.792
F2,1.52,98.48,18.537,81.462,8.775,8.775,40.02,40.02,48.863,48.863
