instance, min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s), min time (s), avg. time (s), std time (s)
F1,2.331,2.53,0.194,2.163,2.297,0.113,2.405,2.497,0.094,2.268,2.3,0.031,1.002,2.16,0.538
F2,2.26,2.5,0.244,2.171,2.292,0.119,2.331,2.405,0.057,2.269,2.322,0.059,1.002,2.374,0.622
